SampleID,Cancertype,Sampletype,ImTHscore
TCGA-OR-A5J1-01A-11R-A29S-07,acc,tumor,2.802276256
TCGA-OR-A5J2-01A-11R-A29S-07,acc,tumor,2.658089103
TCGA-OR-A5J3-01A-11R-A29S-07,acc,tumor,2.359216967
TCGA-OR-A5J5-01A-11R-A29S-07,acc,tumor,2.513098742
TCGA-OR-A5J6-01A-31R-A29S-07,acc,tumor,2.179644107
TCGA-OR-A5J7-01A-11R-A29S-07,acc,tumor,2.654224155
TCGA-OR-A5J8-01A-11R-A29S-07,acc,tumor,1.649387638
TCGA-OR-A5J9-01A-11R-A29S-07,acc,tumor,2.848247607
TCGA-OR-A5JA-01A-11R-A29S-07,acc,tumor,1.856015275
TCGA-OR-A5JB-01A-11R-A29S-07,acc,tumor,2.000216617
TCGA-OR-A5JC-01A-11R-A29S-07,acc,tumor,2.281215419
TCGA-OR-A5JD-01A-11R-A29S-07,acc,tumor,2.650979423
TCGA-OR-A5JE-01A-11R-A29S-07,acc,tumor,2.791529211
TCGA-OR-A5JF-01A-11R-A29S-07,acc,tumor,2.668323111
TCGA-OR-A5JG-01A-11R-A29S-07,acc,tumor,2.130775955
TCGA-OR-A5JI-01A-11R-A29S-07,acc,tumor,2.506307749
TCGA-OR-A5JJ-01A-11R-A29S-07,acc,tumor,2.915177646
TCGA-OR-A5JK-01A-11R-A29S-07,acc,tumor,2.342661557
TCGA-OR-A5JL-01A-11R-A29S-07,acc,tumor,2.617602296
TCGA-OR-A5JM-01A-11R-A29S-07,acc,tumor,2.564488816
TCGA-OR-A5JO-01A-11R-A29S-07,acc,tumor,2.304415175
TCGA-OR-A5JP-01A-11R-A29S-07,acc,tumor,1.782174119
TCGA-OR-A5JQ-01A-11R-A29S-07,acc,tumor,2.537690466
TCGA-OR-A5JR-01A-11R-A29S-07,acc,tumor,2.219072368
TCGA-OR-A5JS-01A-11R-A29S-07,acc,tumor,3.040161766
TCGA-OR-A5JT-01A-11R-A29S-07,acc,tumor,2.447147654
TCGA-OR-A5JV-01A-11R-A29S-07,acc,tumor,1.973289753
TCGA-OR-A5JW-01A-11R-A29S-07,acc,tumor,2.376673775
TCGA-OR-A5JX-01A-11R-A29S-07,acc,tumor,3.085678235
TCGA-OR-A5JY-01A-31R-A29S-07,acc,tumor,2.716004126
TCGA-OR-A5JZ-01A-11R-A29S-07,acc,tumor,2.21187142
TCGA-OR-A5K0-01A-11R-A29S-07,acc,tumor,2.820837345
TCGA-OR-A5K1-01A-11R-A29S-07,acc,tumor,2.675790145
TCGA-OR-A5K2-01A-11R-A29S-07,acc,tumor,2.425891769
TCGA-OR-A5K3-01A-11R-A29S-07,acc,tumor,2.671716991
TCGA-OR-A5K4-01A-11R-A29S-07,acc,tumor,2.909049723
TCGA-OR-A5K5-01A-11R-A29S-07,acc,tumor,2.653803485
TCGA-OR-A5K6-01A-11R-A29S-07,acc,tumor,2.973070929
TCGA-OR-A5K8-01A-11R-A29S-07,acc,tumor,2.378361523
TCGA-OR-A5K9-01A-11R-A29S-07,acc,tumor,2.577205852
TCGA-OR-A5KO-01A-11R-A29S-07,acc,tumor,2.329545307
TCGA-OR-A5KT-01A-11R-A29S-07,acc,tumor,2.722216027
TCGA-OR-A5KU-01A-11R-A29S-07,acc,tumor,2.674624218
TCGA-OR-A5KV-01A-11R-A29S-07,acc,tumor,2.584495346
TCGA-OR-A5KW-01A-11R-A29S-07,acc,tumor,3.3085339
TCGA-OR-A5KX-01A-11R-A29S-07,acc,tumor,2.38106545
TCGA-OR-A5KY-01A-11R-A29S-07,acc,tumor,2.137786586
TCGA-OR-A5KZ-01A-11R-A29S-07,acc,tumor,2.252497071
TCGA-OR-A5L3-01A-11R-A29S-07,acc,tumor,2.568993203
TCGA-OR-A5L4-01A-11R-A29S-07,acc,tumor,2.640826919
TCGA-OR-A5L5-01A-11R-A29S-07,acc,tumor,2.675418167
TCGA-OR-A5L6-01A-11R-A29S-07,acc,tumor,2.365651452
TCGA-OR-A5L8-01A-11R-A29S-07,acc,tumor,2.251530166
TCGA-OR-A5L9-01A-11R-A29S-07,acc,tumor,2.574715149
TCGA-OR-A5LA-01A-11R-A29S-07,acc,tumor,2.421650982
TCGA-OR-A5LB-01A-11R-A29S-07,acc,tumor,2.30454003
TCGA-OR-A5LC-01A-11R-A29S-07,acc,tumor,2.448439653
TCGA-OR-A5LD-01A-11R-A29S-07,acc,tumor,2.852490524
TCGA-OR-A5LE-01A-11R-A29S-07,acc,tumor,2.572393283
